fcgkj f'k{kk ifj;kstuk] ck¡dk,,,,
fnukad 31-08-2026 rd Inspire Award ds rgr Nk=@Nk=kvksa dk Nominaton ugha djus okys fo|ky;ksa dh lwph,,,,
S.No,AppCode,Udisecode,SchoolName,Block
125,APP510161349143,10232519301,U.M.S BASBERWA,Banka
126,APP51016593437,10232507602,U.M.S BHITTHI,Banka
127,APP510161042794,10232518701,U.M.S Bhora,Banka
128,APP51016462298,10232506101,U.M.S Bindi Girl,Banka
129,APP510161344702,10232517402,U.M.S BISHAHARA,Banka
130,APP51016593442,10232517401,U.M.S DUDHARI,Banka
131,APP510161353268,10230103901,U.M.S Dukhansar,Banka
132,APP510161037852,10232501301,U.M.S Gonra,Banka
133,APP51016462334,10232508004,U.M.S Kajhiya,Banka
134,APP510161042778,10232519106,U.M.S Koriyachapar,Banka
135,APP510161039275,10232519203,U.M.S Kurawa,Banka
136,APP510161100127,10232512107,U.M.S Larhomati,Banka
137,APP51016593451,10232501107,U.M.S Madpa,Banka
138,APP51016585636,10232511714,U.M.S Noniya Vasar,Banka
139,APP51016593448,10232517415,U.M.S Urdu Chubhiya,Banka
140,APP510161340216,10232507701,U.M.S WASHIPUR BANKA,Banka
141,APP51016593431,10232509003,U.M.S. Amba,Banka
142,APP510161102421,10230903703,U.M.S. Baliyas,Banka
143,APP51016591095,10232501001,U.M.S. Chakkadih,Banka
144,APP51016593171,10232518402,U.M.S. Choubatiya,Banka
145,APP51016462543,10232518503,U.M.S. Chutiya,Banka
146,APP510161104931,10232500501,U.M.S. Devda,Banka
147,APP510161171236,10232507401,U.M.S. Dhaka,Banka
148,APP510161070939,10232515603,U.M.S. Dhodari,Banka
149,APP510161348099,10230107001,U.M.S. Ghagharijor,Banka
150,APP51016585879,10232511719,U.M.S. Gohkara,Banka
151,APP51016586622,10232512601,U.M.S. Gouripur,Banka
152,APP51016462540,10232511302,U.M.S. Jhirwa,Banka
153,APP510161108272,10232509901,U.M.S. Jitarpur,Banka
154,APP510161014556,10232506704,U.M.S. Jogdiha,Banka
155,APP51016992006,10232519806,U.M.S. Kateli,Banka
156,APP51016575158,10232511710,U.M.S. Koriyandha,Banka
157,APP510161083762,10232518303,U.M.S. Kuttadih,Banka
158,APP51016462362,10232501403,U.M.S. LAHEITA MAHARAJGANJ,Banka
159,APP51016593449,10232517409,U.M.S. LALMATIYA,Banka
160,APP510161048119,10232510402,U.M.S. Maheshadih,Banka
161,APP51016585906,10232515302,U.M.S. Majlishpur,Banka
162,APP51016462319,10232506402,U.M.S. Manjhiyara,Banka
163,APP51016593466,10232514303,U.M.S. Manjira,Banka
164,APP510161012272,10232503602,U.M.S. Meharpur,Banka
165,APP51016969459,10230911104,U.M.S. PARARIYA,Banka
166,APP51016593423,10232518907,U.M.S. Pokhariya,Banka
167,APP51016585674,10232515102,U.M.S. Rainiya,Banka
168,APP51016462366,10232515605,U.M.S. Samukhiya,Banka
169,APP510161013205,10232511717,U.M.S. Sanhaula Banka,Banka
170,APP51016723476,10232502701,U.M.S.HASIYA,Banka
171,APP510161291775,10232515103,U.U.M.S RAINIYA JOGDIHA BANKA,Banka
172,APP510161341552,10232519403,"UCHCH MADHYAMIK VIDYALAYA,CHHATRAPAL",Banka
